2011,December 28-31,Six (6) rocket hits,Hits identified in Israeli territory. All the rockets and mortar shells fell in open areas in the western Negev. There were no casualties and no damage.
2011,December 21-27,Three (3) rockets hits;two (2) mortar hits,Fired into Israeli territory from the Gaza Strip. Two rockets fell in an open area in the western Negev on December 24. A third rocket fell on December 26. Two mortar shells fell on December 23 in open areas. There were no casualties and no damage.
2011,December 14-20,Four mortar shells (4),Fired from Gaza into Israeli territory. They landed in open areas in the western Negev. There were no casualties and no damage.
2011,December 8-13,Eighteen (18) rocket hits,"Rockets struck civilian areas in southern Israel.At dusk on Friday, December 9, two rockets were fired toward Ashdod (pop. 200,000)-one was shot down by the Iron Dome anti-rocket system while the other fell in an open field. Another rocket landed at the Eshkol Regional Council. One of the rockets landed in an open area near Ashkelon while another was reported having hit in the Negev desert area. There were no reports of damage or injuries."
2011,Nov 30-Dec 6,One (1) rocket hit,Hit identified near the security fence in the western Negev. There were no casualties and no damage.
2011,November 26,Two (2) rocket hits,Hits identified in Israeli territory. Both fell in open areas in the western Negev. There were no casualties and no damage .
2011,November 15,Two (2) rocket hits,One of the rockets hit a storage shed near a kindergarten in an Israeli village in the western Negev. The other fell in an open area. There were no casualties reported.
2011,November 9-14,One (1) rocket hit,The rocket fell in an open area. There were no casualties and no damage.
2011,November 2-8,Three (3) rocket hits,"They were all launched on November 6, and fell in the western Negev in the Ashkelon district. There were no casualties and no damage."
2011,Oct 26-Nov 1,45 rockets hits;20 mortar hits,"Rockets struck Ashdod (pop. 200,000), Ashkelon (pop. 113,000), Gan Yavne (pop. 19,000) and the Eshkol Regional Council, killing one person-56 year old Ashkelon resident Moshe Ami-and injuring approximately 30 others. Several buildings, including a school, were damaged in the attacks. The IDF views this as a major escalation after more than two weeks of quiet on the southern front."
2011,October 4,Two (2) rocket hits,"Fired from Gaza-one hit was identified in Israel, the other rocket landed inside Gaza. There were no reported injuries."
2011,September 29,One (1) mortar hit,Identified hit in an open area in the western Negev. There were no casualties but power lines were damaged.
2011,September 27,One (1) rocket hit,Hit identified in an open area in the western Negev. There were no casualties and no damage.
2011,September 21-26,One (1) rocket hit;one (1) mortar hit,Hits identified in open areas in the western Negev. There were no casualties and no damage.
2011,August 31-Sept 6,Two (2) rocket hits,One rocket fell in an open area in the western Negev on August 31. The second fell in an open area in the western Negev on September 5. There were no casualties and no damage reported.
2011,August 26-30,Five (5) rockets hits;One (1) GRAD hit;Three (3) mortar hits,Fired at southern Israel from the Gaza Strip. There were no immediate reports of damage or injury.More than 150 rockets and 45 mortars were fired into Israel from Gaza in August 2011 alone.
2011,August 20-25,One-hundred and six (106) rocket hits;Forty (40) mortar hits,"Fired from Gaza into southern Israel in the one of the largest escalations in recent years.Rockets struck in almost every major Israeli city in the south of the country, including Beersheba, Ashkelon and Ashdod. At least 13 civilians were injured in the barrages and one, 38 year old Yossi Shoshan, was killed. On August 24, a nine-month old infant was lightly wounded when a rocket exploded near where she was being held. At least 7 rockets were intercepted and destroyed by the Iron Dome anti-missile system. One of the mortars fired at Israel contained illegal white phosphorous, an incendiary chemical that burns and leads to boils. Despite a ceasefire reached between Israel and Hamas on August 22, missiles continued to be fired."
2011,August 17-19,Twenty-Seven (27) rocket hits;Two (2) mortar hits,"At least seven injuries being reported.One rocket hit ayeshivawhile another rocket landed on a synagogue, though did not explode. The Gaza-based,Al-Qaeda-linked Abdullah Azzam brigades claimed responsibility for shooting at least two rockets on August 19."
2011,August 10-16,Three (3) rocket hits,Hits identified as striking in southern Israel. No injuries were reported as a result. On August 15 a 122mm GRAD rocket fell in an open area near Beersheba. No casualties and no damage were reported.
2011,August 3-9,Six (6) rocket hits,"Two of the rockets had longer ranges than usual and landed near the southern Israeli city of Kiryat Gat-an improved locally-manufactured rocket (August 3) and what was apparently a 122mm Grad rocket (August 4), after which a number of civilians were treated for shock. Another rocket fired on August 4 landed in the western Negev. Six mortar shell hits were identified in Israeli territory. They fell in open areas in the western Negev. No casualties were reported and no damage."
2011,July 27-August 2,Two (2) rocket hits,Hits identified in the western Negev (July 28 and August 1).An Israeli civilian woman suffered minor wounds from the rocket fired on August 1.
2011,July 20-26,One (1) rocket hit,Identified in the western Negev.
2011,July 13-19,Eleven (11) rocket hits;One (1) mortar hit,Identified in Israeli territory. Most of the rockets fell in open areas in the western Negev. There were no casualties and no damage.
2011,July 6-12,Two (2) rocket hits,Hits identified in Israeli territory (July 9). The rockets fell in open areas in the western Negev. There were no casualties.
2011,June 29-July 5,One (1) rocket hit,Hit identified in Israeli territory (July 3) in an open area in the western Negev; there were no casualties and no damage. On July 2 two mortar shells fell in an open area in the western Negev.
2011,June 22-28,Two (2) rocket hits,Hits indentified in Israeli territory (June 21) in an open area in the western Negev. There were no casualties and no damage.
2011,June 15-21,One (1) rocket hit,Hit indentified in Israeli territory (June 16) in an open area in the western Negev. There were no casualties and no damage.
2011,May 25-31,One (1) rocket hit,Hit identified in an open area in the western Negev (May 28). There were no casualties and no damage. It was the first rocket hit since April 18.
2011,April 15-18,Two (2) rocket hits,Hits indentified during the Passover holiday. One Grad rocket landed near the city of Ashdod on April 15; there were no casualties and no damage. The other (April 18) landed in an open area in the western Negev.
